Code,Country,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
AFG,Afghanistan,96.59,93.54,86.6,76.29,67.05,58.62,44.75,37.72,31.39,24.78,20.74,17.09,16.35,16.78
ALB,Albania,9.19,9.3,9.51,9.01,8.95,9.29,8.85,8.64,8.53,9.06,8.75,9.92,10.15,10.09
DZA,Algeria,210.09,212.51,203.81,193.45,189.6,179.59,167.18,166.45,157.23,153.16,145.93,147.71,142.19,138.3
AND,Andorra,0.1,0.09,0.55,0.57,0.58,0.58,0.59,0.58,0.6,0.6,0.6,0.63,0.61,0.58
AGO,Angola,180.12,206.03,183.48,202.25,185.5,220.88,186.78,180.68,173.97,196.18,165.86,191.8,193.16,181.04
ATG,Antigua and Barbuda,1.38,1.35,1.13,1.11,1.1,1.08,1.17,1.14,1.07,1.02,0.96,0.81,0.78,0.74
ARG,Argentina,482.08,470.55,467.82,466.52,478.03,460.12,451.7,469.51,482.38,465.58,462.74,428.51,436.71,408.49
ARM,Armenia,9.46,8.73,9.11,9.13,9.18,8.26,7.83,8.05,9.14,8.57,7.95,7.43,6.78,6.37
AUS,Australia,519.09,536.33,537.95,529.26,617.86,617.79,579.14,617.92,597.42,628.77,637.39,622.46,664.4,620.39
AUT,Austria,71.85,71.49,70.16,73.79,73.2,75.85,78.38,72.87,80.16,80.37,82.82,82.42,82.53,82.93
AZE,Azerbaijan,73.98,73.87,75.23,74.98,75.3,74.01,71.51,67.23,66.32,58.76,60.1,63.56,59.58,58.28
BHS,"Bahamas, The",3.97,3.76,3.19,3.75,2.71,2.77,6.93,6.95,6.86,6.95,6.94,1.19,1.25,0.83
BHR,Bahrain,47.07,46.97,45.9,43.76,40.88,39.68,38.96,37.03,36.41,34.06,32.93,30.49,27.38,27.06
BGD,Bangladesh,209.58,209.03,199.6,194.46,190.02,187.09,174.16,164.16,160.83,149.92,147.64,151.84,148.32,145.52
BRB,Barbados,4.35,4.26,3.75,3.93,3.93,3.93,3.95,4.04,4.04,3.77,3.76,3.67,3.62,3.58
BLR,Belarus,80.7,84.2,88.04,87.04,88.33,84.51,61.38,57.12,59.68,55.54,58.37,62.51,61.44,60.28
BEL,Belgium,107.35,108.55,103.62,109.67,108.86,109.55,121.56,114.36,121.29,119.45,123.68,125.9,129.95,131.3
BLZ,Belize,4.86,5.21,3.58,7.64,3.31,7.19,9.29,7.13,8.36,9.8,7.52,9.28,6.88,10.17
BEN,Benin,26.53,25.42,24.57,24.07,23.62,23.68,23.48,22.85,22.04,22.49,21.4,20.92,19.45,19.55
BTN,Bhutan,-1.82,-1.76,-1.72,-1.82,-1.77,-1.99,-1.26,-1.46,-1.47,-1.33,-1.45,-2.89,-3.07,-3.03
BOL,Bolivia,150.94,141.57,138.6,137.59,138.62,142.71,169.75,133.1,135.58,142.36,133.33,128.55,133,114.41
BIH,Bosnia and Herzegovina,27.25,24.65,24.46,27.09,27.45,29.33,26.03,26.01,25.8,24.04,22.81,20.93,20.28,19.52
BWA,Botswana,69.99,131.85,34.32,66.34,34.18,47.86,37.59,28.28,46.18,83.79,41.57,79.24,30.24,89.41
BRA,Brazil,1379.38,1409.94,1413.43,1368.38,1353.14,1307.81,1540.26,1433.19,1454.36,1466.13,1420.95,2015.48,2005.24,1958.83
BRN,Brunei Darussalam,16.8,16.58,17.4,17.49,17.69,17.6,19.09,20.08,20.33,20.42,21.3,19.43,19.42,19.79
BGR,Bulgaria,44.07,47.26,44.78,42.31,47.34,53.1,47.27,45.61,53.01,55.52,51.14,47.22,47.14,48.42
BFA,Burkina Faso,38.63,37.28,36.11,35.94,34.92,34.31,36.19,35.02,34.02,33.5,32.5,30.74,30.02,29.1
BDI,Burundi,7.74,7.35,7.6,7.87,7.24,7.41,3.92,3.81,3.44,2.69,3.14,8.86,9.59,10.38
CIV,Côte d'Ivoire,31.17,28.71,27.34,27.57,26.76,25.05,26.13,27.68,29.44,30.82,31.31,18.55,17.87,20.25
KHM,Cambodia,65.43,62.12,57.86,58.65,56.29,57.23,54.68,54.2,53.29,53.29,51.61,59.06,58.51,56.57
CMR,Cameroon,208.38,207.5,202.93,209.02,199.18,200.93,201.39,202.26,204.68,202.37,197.7,206.73,199.66,203.04
CAN,Canada,779.27,861.77,819.39,857.34,791.74,756.74,884.34,800.9,877.95,894.32,882.12,971.7,961.05,1001.57
CPV,Cape Verde,0.93,0.92,0.54,0.54,0.54,0.64,0.71,0.67,0.6,0.64,0.6,0.64,0.53,0.5
CAF,Central African Republic,75.73,70.83,67.55,67.21,63.84,66.46,62.1,58.07,64.73,61.96,60.35,61.91,59.65,64.8
TCD,Chad,101.97,96.87,56.72,57.21,57.97,57.23,56.89,55.4,57.15,57.57,56.93,39.53,37.44,36.17
CHL,Chile,3.74,0.57,-5.68,0.28,-2.62,-4.72,86.46,81.79,84.53,79.86,71.46,70.88,70,64.63
CHN,China,11576.87,11584.22,11592.12,11570.95,11106.42,10781.3,9788.64,8989.4,8396.81,8102.46,7483.96,6856.61,6132.26,5385.87
COL,Colombia,232,199.71,200.85,192.09,182.28,183.9,325.72,321.64,317.54,318.81,310.83,316.15,319.58,317.93
COM,Comoros,0.6,0.59,0.55,0.55,0.52,0.5,0.52,0.47,0.45,0.42,0.5,0.53,0.46,0.45
COK,Cook Islands,0.11,0.11,0.09,0.09,0.09,0.09,0.04,0.04,0.04,0.03,0.03,0.07,0.06,0.04
CRI,Costa Rica,4.63,3.47,3.65,3.62,2.97,2.93,6.19,5.97,6.38,6.24,4.83,4.46,3.91,4.96
HRV,Croatia,18.94,18.85,18.26,19,20.1,22.13,16.54,17.18,19.73,20.59,19.02,16.22,16.35,16.6
CUB,Cuba,27.24,30.73,30.59,30.92,32.26,32.18,84.88,81.85,80.45,80.96,79.94,8.76,8.4,8.85
CYP,Cyprus,8.26,7.84,7.8,7.37,8.05,8.58,8.79,9.05,9.26,9.02,8.71,8.84,8.74,8.78
CZE,Czech Republic,111.77,109.9,108.04,110.74,116.05,119.39,127.69,124.47,132.2,137.19,134.24,127.75,130.77,130.25
COD,"Congo, Dem. Rep",224.84,219.87,219.16,222.97,214.34,214.68,211.76,210.77,210.05,207.94,209.12,210.96,208.26,203.89
DNK,Denmark,46.66,45.05,47.33,51.59,50.07,55.45,62.23,61.73,64.62,68.03,72.86,65.83,69.64,76.09
DJI,Djibouti,2.08,2.06,1.65,1.55,1.47,1.42,1.46,1.4,1.43,1.39,1.33,1.34,1.33,1.33
DMA,Dominica,0.38,0.37,0.32,0.32,0.32,0.31,0.73,0.72,0.72,0.75,0.7,0.2,0.19,0.19
DOM,Dominican Republic,28.9,27.77,25.44,25.25,25.41,24.58,24.28,22.87,23.41,23.16,21.81,20.3,19.02,19.71
ECU,Ecuador,98.59,100.16,102.3,100.38,98.18,96.71,96.21,92.53,89.28,88.4,87.94,85.79,84.29,80.34
EGY,"Egypt, Arab Rep.",310.42,303.77,297.7,292.44,294.69,283.9,277.42,274.87,271.34,259.48,243.29,234.14,215.21,204.5
SLV,El Salvador,13.48,13.38,12.7,12.43,13.2,13.02,13.22,13.5,13.8,14.45,13.84,13.54,13.02,12.93
GNQ,Equatorial Guinea,23.22,25.16,24.86,25.38,26.17,26.37,26.97,27.42,27.1,27.68,28.09,27.71,26.59,23.92
ERI,Eritrea,7.96,7.89,8.02,8.14,8.17,8.29,8.1,8.17,7.92,7.91,7.47,7.67,7.83,7.92
EST,Estonia,20.38,19.18,21.66,23.04,20.63,21.77,19.5,15.47,18.9,20.35,16.6,23.19,23.08,23.01
SWZ,Eswatini,3.24,3.2,3.36,3.23,3.34,3.14,3.13,3.05,3.29,3.38,3.06,3.17,3.17,3.17
ETH,Ethiopia,188.66,178.58,172.89,177.13,166.22,150.38,164.86,160.68,157.42,144.73,144.58,132.56,138.17,136.7
EUU,European Union ,3162.75,3159.91,3103.15,3246.38,3325.05,3384.19,3589.4,3509.53,3781.19,3870.98,3906.12,3927.44,3958.74,3966.86
FJI,Fiji,0.96,1.06,-0.38,-0.51,-0.66,-0.69,3.03,2.68,2.74,2.99,3.04,0.26,0.53,0.21
FIN,Finland,63.16,60.15,63.37,67.44,66.87,72.7,54.75,46.69,50.29,58.39,60.38,53.06,65.3,69.28
FRA,France,329.6,331.3,324.66,357.6,356.76,353.48,409.04,405.18,422.46,428.16,434.96,420.5,419.89,422.77
GAB,Gabon,-84.96,-85.04,-85.62,-84.88,-85.26,-85.07,7.98,7.08,8.27,7.33,7.21,7.5,7.38,6.87
GMB,"Gambia, The",2.4,2.36,2.24,2.09,2.02,1.92,2.16,1.97,1.64,1.47,1.43,1.29,1.44,1.54
GEO,Georgia,17.23,16.88,16.5,15.54,15.25,14.42,9.49,9.75,9.03,9.92,9.1,8.79,8.12,8.01
DEU,Germany,808.73,808.91,803.72,844.05,826.22,812.51,864.72,834.12,892.66,888.29,918.19,906.56,931.26,951.08
GHA,Ghana,51.04,50.89,48.02,47.72,44.7,42.29,23.16,21.01,19.22,19.82,19.08,63.07,60.03,61.18
GRC,Greece,86.36,87.32,89.11,92.29,99.91,105.11,107.44,114.19,121.42,125.14,121.59,123.28,121.21,121.38
